Locus,Gene,Celltype,Source
AT1G79840,GL2,Atrichoblast,"Lee et al., PNAS, 2006"
AT3G28540,AT3G28540,Columella (1-3th Outer Layer),"Wendrich et al., Science, 2020"
AT5G48130,AT5G48130,Columella (1-4th Outer Layer) + LRC (3 Vertical Layers from Columella),"Wendrich et al., Science, 2020"
AT1G17400,AT1G17400,Columella (1-5th Outer Layer),"Wendrich et al., Science, 2020"
AT1G33280,BRN1,Columella (1st Outer Layer) + LRC (1st +2nd Outer Layer),"Kamiya et al., Development, 2016"
AT4G10350,BRN2,Columella (1st Outer Layer) + LRC (1st Outer Layer),"Kamiya et al., Development, 2016"
AT1G79580,SMB,Columella + LRC,"Kamiya et al., Development, 2016"
AT1G62500,CO2,Cortex,"Heidstra et al., GenesDev, 2004"
AT1G62510,AT1G62510,Cortex,"Denyer et al., Dev Cell, 2019"
AT2G40260,AT2G40260,Cortex,"Wendrich et al., Science, 2020"
AT2G29330,TRI,Cortex + Endodermis,"Wendrich et al., Science, 2020"
AT3G56220,AT3G56220,Cortex + Endodermis,"Wendrich et al., Science, 2020"
AT3G61930,AT3G61930,Distal Columella,SEMITONES
AT1G16390,AT1G16390,Endodermis,"Wendrich et al., Science, 2020"
AT1G30750,AT1G30750,Endodermis,"Wendrich et al., Science, 2020"
AT3G54220,SCR,Endodermis,"Birnbaum et al., Science, 2003"
AT4G16270,PER40,Endodermis,"Wendrich et al., Science, 2020"
AT5G46600,ALMT13,Endodermis,"Wendrich et al., Science, 2020"
AT5G57620,MYB36,Endodermis,"Kamiya et al., PNAS, 2015"
AT5G14750,WER,LRC + Atrichoblast,"Birnbaum et al., Science, 2003"
AT5G19530,ACL5,Metaxylem,"Wendrich et al., Science, 2020"
AT2G31310,LBD14,Pericycle Initials,"Wendrich et al., Science, 2020"
AT1G79430,APL,Phloem,"Bonke et al., Nature,2003"
AT4G36410,UBC17,Phloem,"Wendrich et al., Science, 2020"
AT5G04080,AT5G04080,Phloem,"Wendrich et al., Science, 2020"
AT2G22850,bZIP6,Phloem;Phloem Pole Pericycle,"Lee et al., PNAS, 2006; Frank Qasim Machin et al., The Plant Journal, 2019"
AT1G04240,SHY2,Procambium + Xylem,"Wendrich et al., Science, 2020"
AT1G71050,HIPP20,Procambium + Xylem,"Wendrich et al., Science, 2020"
AT1G71930,VND7,Protoxylem,"Wendrich et al., Science, 2020"
AT3G25710,TMO5,Protoxylem,"Lee et al., PNAS, 2006; Frank Qasim Machin et al., The Plant Journal, 2019"
AT4G18780,CESA8,Protoxylem,"Wendrich et al., Science, 2020"
AT2G04025,RGF3,Proximal Columella,SEMITONES
AT2G18380,GATA20,PSE,"Frank Qasim Machin et al., The Plant Journal, 2019"
AT5G62940,PEAR1/DOF2.4,PSE,"Miyashima et al., Nature, 2019"
AT3G20880,AT3G20880,Quiescent Center,"Lee et al., PNAS, 2006"
AT3G26120,TEL1,Quiescent Center,"Denyer et al., Dev Cell, 2019"
AT5G60810,RGF1,Quiescent Center,"Matsusaki et al., Science, 2010"
AT3G55550,LECRKS4,Quiescent Center + Columella,"Wendrich et al., Science, 2020"
AT3G60650,AT3G60650,Quiescent Center + Columella,"Wendrich et al., Science, 2020"
AT1G66470,RHD6,Trichoblast,"Menand et al., Science, 2007"
AT4G13390,EXT12,Trichoblast,"Denyer et al., Dev Cell, 2019"
AT5G37800,RSL1,Trichoblast,"Menand et al., Science, 2007"
AT5G49270,COBL9,Trichoblast,"Huang et al., Plant Physiol, 2017"
AT5G58010,LRL3,Trichoblast,"Lee et al., PNAS, 2006"
AT2G36120,DOT1,Xylem Pole Pericycle,"Wendrich et al., Science, 2020"
AT4G30450,XPP,Xylem Pole Pericycle,"Wendrich et al., Science, 2020"
