Locus,Gene,Phase
AT1G18670,CKL3,G1-S
AT5G65420,CYCD4;1,G1-S
AT5G10440,CYCD4;2,G1-S
AT4G03270,CYCD6;1,G1-S
AT5G02110,CYCD7;1,G1-S
AT5G48820,KRP3,G1-S
AT3G19150,KRP6,G1-S
AT1G49620,KRP7,G1-S
AT5G43080,CYCA3;1,G1-S
AT1G47210,CYCA3;2,G1-S
AT5G02470,Dpa,G1-S
AT3G48160,DEL1,G1-S
AT3G01330,DEL3,G1-S
AT3G12280,RB,G1-S
AT1G02970,WEE1,G1-S
AT2G27970,CKS2,G2-M
AT1G44110,CYCA1;1,G2-M
AT1G77390,CYCA1;2,G2-M
AT5G11300,CYCA2;2,G2-M
AT1G15570,CYCA2;3,G2-M
AT4G37490,CYCB1;1,G2-M
AT5G06150,CYCB1;2,G2-M
AT3G11520,CYCB1;3,G2-M
AT2G26760,CYCB1;4,G2-M
AT1G34460,CYCB1;5,G2-M
AT2G17620,CYCB2;1,G2-M
AT4G35620,CYCB2;2,G2-M
AT1G20610,CYCB2;3,G2-M
AT1G76310,CYCB2;4,G2-M
AT1G20590,CYCB2;5,G2-M
AT1G16330,CYCB3;1,G2-M
AT3G54180,CDKB1;1,G2-M
AT2G38620,CDKB1;2,G2-M
AT1G76540,CDKB2;1,G2-M
AT1G20930,CDKB2;2,G2-M
